filename,Classes,Labels
0950991.jpg,707-320,0
0864665.jpg,707-320,0
1187431.jpg,707-320,0
1423583.jpg,707-320,0
0817494.jpg,707-320,0
0548719.jpg,707-320,0
0582372.jpg,707-320,0
0994986.jpg,727-200,1
0771164.jpg,727-200,1
0786258.jpg,727-200,1
0901504.jpg,727-200,1
0995286.jpg,727-200,1
1514487.jpg,727-200,1
0143080.jpg,727-200,1
0610653.jpg,737-200,2
0564495.jpg,737-200,2
0447807.jpg,737-200,2
0065422.jpg,737-200,2
1548405.jpg,737-200,2
0438655.jpg,737-200,2
0054367.jpg,737-200,2
0278443.jpg,737-300,3
0114409.jpg,737-300,3
0687267.jpg,737-300,3
2115318.jpg,737-300,3
1393334.jpg,737-300,3
0097577.jpg,737-300,3
1295999.jpg,737-300,3
0740907.jpg,737-400,4
2244446.jpg,737-400,4
2066262.jpg,737-400,4
2026894.jpg,737-400,4
0420818.jpg,737-400,4
2186493.jpg,737-400,4
1398863.jpg,737-400,4
0143341.jpg,737-500,5
1147739.jpg,737-500,5
0977330.jpg,737-500,5
0225225.jpg,737-500,5
0657761.jpg,737-500,5
1818731.jpg,737-500,5
0130599.jpg,737-500,5
2188618.jpg,737-600,6
0961750.jpg,737-600,6
0442918.jpg,737-600,6
1259152.jpg,737-600,6
0731199.jpg,737-600,6
0905907.jpg,737-600,6
0361351.jpg,737-600,6
2236966.jpg,737-700,7
0183579.jpg,737-700,7
2030599.jpg,737-700,7
0067036.jpg,737-700,7
0956171.jpg,737-700,7
1611252.jpg,737-700,7
1121142.jpg,737-700,7
0694546.jpg,737-800,8
1692197.jpg,737-800,8
1806234.jpg,737-800,8
1385341.jpg,737-800,8
2099419.jpg,737-800,8
0781150.jpg,737-800,8
1470793.jpg,737-800,8
1361120.jpg,737-900,9
0383399.jpg,737-900,9
1582314.jpg,737-900,9
0723572.jpg,737-900,9
1313348.jpg,737-900,9
1948449.jpg,737-900,9
0840357.jpg,737-900,9
0993061.jpg,747-100,10
2161794.jpg,747-100,10
1099245.jpg,747-100,10
1707955.jpg,747-100,10
0688093.jpg,747-100,10
1831093.jpg,747-100,10
1145144.jpg,747-100,10
0482818.jpg,747-200,11
0448050.jpg,747-200,11
0198433.jpg,747-200,11
1200648.jpg,747-200,11
0821422.jpg,747-200,11
0829998.jpg,747-200,11
0179070.jpg,747-200,11
0894208.jpg,747-300,12
0983542.jpg,747-300,12
0859029.jpg,747-300,12
1389219.jpg,747-300,12
2147232.jpg,747-300,12
0785021.jpg,747-300,12
1284239.jpg,747-300,12
1541386.jpg,747-400,13
2047538.jpg,747-400,13
1376174.jpg,747-400,13
1146172.jpg,747-400,13
1098953.jpg,747-400,13
0983934.jpg,747-400,13
1469691.jpg,747-400,13
0458643.jpg,757-200,14
0923571.jpg,757-200,14
2013757.jpg,757-200,14
0701760.jpg,757-200,14
0814906.jpg,757-200,14
2067977.jpg,757-200,14
0225217.jpg,757-200,14
1944650.jpg,757-300,15
0313720.jpg,757-300,15
1564943.jpg,757-300,15
1771968.jpg,757-300,15
0138993.jpg,757-300,15
0662343.jpg,757-300,15
0442375.jpg,757-300,15
1031454.jpg,767-200,16
0188143.jpg,767-200,16
2213535.jpg,767-200,16
0738257.jpg,767-200,16
2200399.jpg,767-200,16
0197363.jpg,767-200,16
0179066.jpg,767-200,16
0068813.jpg,767-300,17
0716370.jpg,767-300,17
0481979.jpg,767-300,17
0061139.jpg,767-300,17
0967855.jpg,767-300,17
1327286.jpg,767-300,17
1143413.jpg,767-300,17
2004856.jpg,767-400,18
2215846.jpg,767-400,18
1607459.jpg,767-400,18
1582400.jpg,767-400,18
2205728.jpg,767-400,18
0151672.jpg,767-400,18
0931734.jpg,767-400,18
0704510.jpg,777-200,19
1206451.jpg,777-200,19
1877324.jpg,777-200,19
2110536.jpg,777-200,19
1095676.jpg,777-200,19
0752124.jpg,777-200,19
2172265.jpg,777-200,19
1191065.jpg,777-300,20
1891190.jpg,777-300,20
1557747.jpg,777-300,20
2069690.jpg,777-300,20
2081094.jpg,777-300,20
2013756.jpg,777-300,20
0123344.jpg,777-300,20
0345781.jpg,A300B4,21
0346147.jpg,A300B4,21
0185316.jpg,A300B4,21
1088805.jpg,A300B4,21
1355230.jpg,A300B4,21
1423425.jpg,A300B4,21
1255726.jpg,A300B4,21
1313523.jpg,A310,22
0487316.jpg,A310,22
0923502.jpg,A310,22
0114420.jpg,A310,22
1346444.jpg,A310,22
0949946.jpg,A310,22
2175624.jpg,A310,22
2090080.jpg,A318,23
1909808.jpg,A318,23
1355481.jpg,A318,23
1056320.jpg,A318,23
1539428.jpg,A318,23
1058491.jpg,A318,23
1355236.jpg,A318,23
0979624.jpg,A319,24
2246105.jpg,A319,24
2088369.jpg,A319,24
0939503.jpg,A319,24
1483441.jpg,A319,24
0248132.jpg,A319,24
1818746.jpg,A319,24
0257282.jpg,A320,25
0205775.jpg,A320,25
1293019.jpg,A320,25
1553898.jpg,A320,25
1641331.jpg,A320,25
0367794.jpg,A320,25
0829997.jpg,A320,25
2221573.jpg,A321,26
2168926.jpg,A321,26
0684562.jpg,A321,26
0076836.jpg,A321,26
0434343.jpg,A321,26
1616512.jpg,A321,26
1332663.jpg,A321,26
1184708.jpg,A330-200,27
1917518.jpg,A330-200,27
0523063.jpg,A330-200,27
0257026.jpg,A330-200,27
2131538.jpg,A330-200,27
0225212.jpg,A330-200,27
1870658.jpg,A330-200,27
1146174.jpg,A330-300,28
0496970.jpg,A330-300,28
0175819.jpg,A330-300,28
1939758.jpg,A330-300,28
0457177.jpg,A330-300,28
1467620.jpg,A330-300,28
1531355.jpg,A330-300,28
0996579.jpg,A340-200,29
1507531.jpg,A340-200,29
0918184.jpg,A340-200,29
1266977.jpg,A340-200,29
0295746.jpg,A340-200,29
0245219.jpg,A340-200,29
0457830.jpg,A340-200,29
0942763.jpg,A340-300,30
0745361.jpg,A340-300,30
1719561.jpg,A340-300,30
1240324.jpg,A340-300,30
0076845.jpg,A340-300,30
0738965.jpg,A340-300,30
1073030.jpg,A340-300,30
0727643.jpg,A340-500,31
1081563.jpg,A340-500,31
1830876.jpg,A340-500,31
1753485.jpg,A340-500,31
0803689.jpg,A340-500,31
0745521.jpg,A340-500,31
0996453.jpg,A340-500,31
1111113.jpg,A340-600,32
1883790.jpg,A340-600,32
1088600.jpg,A340-600,32
1619902.jpg,A340-600,32
1426948.jpg,A340-600,32
1218924.jpg,A340-600,32
1758483.jpg,A340-600,32
1891187.jpg,A380,33
1252082.jpg,A380,33
2239301.jpg,A380,33
1749661.jpg,A380,33
2233490.jpg,A380,33
2218523.jpg,A380,33
1855337.jpg,A380,33
0562558.jpg,ATR-42,34
1557910.jpg,ATR-42,34
1122472.jpg,ATR-42,34
0064202.jpg,ATR-42,34
2026727.jpg,ATR-42,34
0833334.jpg,ATR-42,34
0673361.jpg,ATR-42,34
0957905.jpg,ATR-72,35
1798654.jpg,ATR-72,35
2262511.jpg,ATR-72,35
0454747.jpg,ATR-72,35
1408802.jpg,ATR-72,35
1542796.jpg,ATR-72,35
1539422.jpg,ATR-72,35
0850835.jpg,An-12,36
0523148.jpg,An-12,36
0127649.jpg,An-12,36
0852361.jpg,An-12,36
1274803.jpg,An-12,36
0738259.jpg,An-12,36
1008572.jpg,An-12,36
1386685.jpg,BAE 146-200,37
0957225.jpg,BAE 146-200,37
0136182.jpg,BAE 146-200,37
1950554.jpg,BAE 146-200,37
0143389.jpg,BAE 146-200,37
0922626.jpg,BAE 146-200,37
1192235.jpg,BAE 146-200,37
1918305.jpg,BAE 146-300,38
0077518.jpg,BAE 146-300,38
0523168.jpg,BAE 146-300,38
0758359.jpg,BAE 146-300,38
0062260.jpg,BAE 146-300,38
1352225.jpg,BAE 146-300,38
0167122.jpg,BAE 146-300,38
1600520.jpg,BAE-125,39
1563979.jpg,BAE-125,39
2094357.jpg,BAE-125,39
0083356.jpg,BAE-125,39
1006795.jpg,BAE-125,39
1228464.jpg,BAE-125,39
1662815.jpg,BAE-125,39
1713232.jpg,Beechcraft 1900,40
1540395.jpg,Beechcraft 1900,40
1052486.jpg,Beechcraft 1900,40
0636482.jpg,Beechcraft 1900,40
0447803.jpg,Beechcraft 1900,40
1564412.jpg,Beechcraft 1900,40
0751325.jpg,Beechcraft 1900,40
0279936.jpg,Boeing 717,41
0440054.jpg,Boeing 717,41
2236360.jpg,Boeing 717,41
0875560.jpg,Boeing 717,41
1555985.jpg,Boeing 717,41
1323660.jpg,Boeing 717,41
2240254.jpg,Boeing 717,41
