2025-04-24 22:56:34,951 INFO    MainThread:9240 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\ÿÍÓÎ‡ –ÓÍ‡\Documents\”Õ»¬≈–\KP\wandb\run-20250424_225634-v91zfqn7\logs\debug.log
2025-04-24 22:56:34,952 INFO    MainThread:9240 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\ÿÍÓÎ‡ –ÓÍ‡\Documents\”Õ»¬≈–\KP\wandb\run-20250424_225634-v91zfqn7\logs\debug-internal.log
2025-04-24 22:56:34,952 INFO    MainThread:9240 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000017CA6257560>
2025-04-24 22:56:34,952 INFO    MainThread:9240 [wandb_init.py:init():852] calling init triggers
2025-04-24 22:56:34,952 INFO    MainThread:9240 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 20, 'lr': 0.0001, 'batch_size': 32, '_wandb': {}}
2025-04-24 22:56:36,395 INFO    MainThread:9240 [wandb_init.py:init():893] starting backend
2025-04-24 22:56:36,395 INFO    MainThread:9240 [wandb_init.py:init():897] sending inform_init request
2025-04-24 22:56:36,398 INFO    MainThread:9240 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-24 22:56:36,398 INFO    MainThread:9240 [wandb_init.py:init():907] backend started and connected
2025-04-24 22:56:36,404 INFO    MainThread:9240 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-04-24 22:56:36,404 INFO    MainThread:9240 [wandb_run.py:_label_probe_notebook():1379] Unable to probe notebook: 'charmap' codec can't decode byte 0x98 in position 12118: character maps to <undefined>
2025-04-24 22:56:36,404 INFO    MainThread:9240 [wandb_init.py:init():1002] updated telemetry
2025-04-24 22:56:36,405 INFO    MainThread:9240 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-24 22:56:36,959 INFO    MainThread:9240 [wandb_init.py:init():1101] starting run threads in backend
2025-04-24 22:56:37,240 INFO    MainThread:9240 [wandb_run.py:_console_start():2566] atexit reg
2025-04-24 22:56:37,241 INFO    MainThread:9240 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-24 22:56:37,241 INFO    MainThread:9240 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-24 22:56:37,241 INFO    MainThread:9240 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-24 22:56:37,241 INFO    MainThread:9240 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-24 23:44:22,409 INFO    MainThread:9240 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
